 Simulation of solvent flow around colloids
    Step      Temp      Etot      Ekin      Epot       P-x       P-y
  166000 0.100E+01 0.113E+06 0.113E+06 0.000E+00 0.275E+03 0.145E+05
  167000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.181E+02 0.142E+05
  168000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.556E+03 0.142E+05
  169000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.282E+03 0.142E+05
  170000 0.100E+01 0.113E+06 0.113E+06 0.000E+00 0.401E+03 0.140E+05
  171000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.281E+03 0.143E+05
  172000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.161E+03 0.140E+05
  173000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.443E+00 0.139E+05
  174000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.315E+03 0.139E+05
  175000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.476E+03 0.139E+05
  176000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.520E+02 0.141E+05
  177000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.744E+02 0.140E+05
  178000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.761E+02 0.145E+05
  179000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.366E+03 0.140E+05
  180000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.888E+03 0.141E+05
  181000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.382E+03 0.143E+05
  182000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.214E+03 0.141E+05
  183000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.149E+03 0.146E+05
  184000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.677E+02 0.146E+05
  185000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.965E+01 0.146E+05
  186000 0.100E+01 0.113E+06 0.113E+06 0.000E+00 -.606E+03 0.149E+05
  187000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.664E+03 0.143E+05
  188000 0.996E+00 0.112E+06 0.112E+06 0.000E+00 0.859E+02 0.144E+05
  189000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.111E+03 0.137E+05
  190000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.257E+03 0.149E+05
  191000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.293E+03 0.147E+05
  192000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.758E+01 0.145E+05
  193000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.101E+03 0.146E+05
  194000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 -.576E+03 0.146E+05
  195000 0.100E+01 0.113E+06 0.113E+06 0.000E+00 0.293E+03 0.145E+05
  196000 0.100E+01 0.113E+06 0.113E+06 0.000E+00 -.711E+02 0.150E+05
  197000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.452E+03 0.147E+05
  198000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.433E+03 0.147E+05
  199000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.492E+03 0.141E+05
  200000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.541E+03 0.142E+05
  201000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 -.703E+03 0.147E+05
  202000 0.100E+01 0.112E+06 0.112E+06 0.000E+00 0.601E+03 0.148E+05
  203000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.749E+02 0.146E+05
  204000 0.999E+00 0.112E+06 0.112E+06 0.000E+00 0.857E+02 0.146E+05
  205000 0.100E+01 0.113E+06 0.113E+06 0.000E+00 0.971E+02 0.141E+05
